City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,albany,42.6001,-73.9662,16.64,68,64,0.45,US,1699383261
1,keszthely,46.7681,17.2432,9.94,100,0,2.57,HU,1699383262
2,puerto ayora,-0.7393,-90.3518,28.98,75,6,4.02,EC,1699383262
3,happy valley-goose bay,53.3168,-60.3315,-1.83,59,100,3.09,CA,1699383262
4,college,64.8569,-147.8028,-7.03,84,100,0.0,US,1699383262
5,iqaluit,63.7506,-68.5145,-8.15,79,100,2.57,CA,1699383262
6,keflavik,64.0049,-22.5624,4.24,70,40,8.75,IS,1699383074
7,boa vista,2.8197,-60.6733,32.99,52,75,2.57,BR,1699383263
8,luocheng,29.3848,104.0286,18.07,74,100,0.99,CN,1699383263
9,edinburgh of the seven seas,-37.0676,-12.3116,15.75,88,90,15.92,SH,1699383263
10,ribeira grande,38.5167,-28.7,20.43,94,75,7.6,PT,1699383263
11,dawesville,30.9224,-84.0091,27.42,33,0,2.24,US,1699383263
12,mattighofen,48.1031,13.1503,7.42,98,100,0.45,AT,1699383264
13,nabire,-3.3667,135.4833,24.72,92,100,1.54,ID,1699383264
14,hsinchu,24.8036,120.9686,22.99,74,51,0.45,TW,1699383264
15,port alfred,-33.5906,26.891,15.66,89,3,1.34,ZA,1699383264
16,port-aux-francais,-49.35,70.2167,3.43,79,45,11.0,TF,1699383264
17,saudarkrokur,65.7461,-19.6394,-0.04,68,0,2.58,IS,1699383264
18,siwa oasis,29.2041,25.5195,25.01,41,0,2.33,EG,1699383265
19,saint-joseph,-21.3667,55.6167,22.21,86,100,5.02,RE,1699383265
20,olonkinbyen,70.9221,-8.7187,1.11,72,100,3.38,SJ,1699383265
21,waitangi,-43.9535,-176.5597,13.23,97,100,0.89,NZ,1699383265
22,lata,40.1629,-8.3327,14.9,89,100,0.36,PT,1699383265
23,adamstown,-25.066,-130.1015,22.62,85,100,9.13,PN,1699383266
24,gaigeturi,33.4644,126.3183,13.03,67,75,1.54,KR,1699383266
25,sparti,37.0733,22.4297,18.86,53,0,0.67,GR,1699383266
26,orebro,59.2741,15.2066,5.1,93,40,2.06,SE,1699383266
27,buala,-8.145,159.5921,25.85,88,88,1.38,SB,1699383267
28,klyuchi,52.2667,79.1667,-2.41,79,13,2.07,RU,1699383267
29,fale old settlement,-9.3852,-171.2468,28.94,72,77,6.87,TK,1699383267
30,gadzhiyevo,69.2551,33.3362,0.58,76,100,5.42,RU,1699383267
31,pasuquin,18.3328,120.6177,23.97,83,20,1.03,PH,1699383267
32,iskushuban,10.2837,50.23,24.73,75,100,5.38,SO,1699383267
33,geraldton,-28.7667,114.6,15.23,88,4,3.09,AU,1699383267
34,baardheere,2.3446,42.2764,27.51,74,100,3.26,SO,1699383268
35,invercargill,-46.4,168.35,8.9,91,100,1.34,NZ,1699383268
36,mosjoen,65.836,13.1908,4.12,93,75,1.03,NO,1699383268
37,east london,-33.0153,27.9116,17.52,67,0,5.14,ZA,1699383268
38,tiksi,71.6872,128.8694,-23.43,96,79,3.27,RU,1699383268
39,punta arenas,-53.15,-70.9167,7.06,76,75,4.63,CL,1699383068
40,tamanrasset,22.785,5.5228,21.95,10,0,3.09,DZ,1699383269
41,hawaiian paradise park,19.5933,-154.9731,25.49,91,100,2.57,US,1699383269
42,roma,43.2128,-75.4557,11.49,71,100,7.2,US,1699383215
43,mwinilunga,-11.7358,24.4293,17.53,91,100,1.81,ZM,1699383269
44,longyearbyen,78.2186,15.6401,-12.09,79,40,4.63,SJ,1699383269
45,katsuura,35.1333,140.3,17.51,67,20,7.67,JP,1699383270
46,susuman,62.7833,148.1667,-25.4,100,100,0.42,RU,1699383270
